t_10Hz,t_video (secs),Temperature_0,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Temperature_5,dT/dt,CHF Proximity,frame_index_round,frame_index_floor,frame_index_ceil,frame_delta_round
70.0,346.5383923754733,138.130143,155.558509,148.366982,168.746731,98.744101,98.858121,0.4042148405309831,0.2710437575705272,10396,10396,10397,15.0
70.1,347.033447221724,138.130143,155.558509,148.366982,168.746731,98.7447576910299,98.8573439900332,0.4654109999999889,0.2710437575705272,10411,10411,10412,15.0
70.2,347.52850206797467,138.130143,155.558509,148.366982,168.746731,98.752337,98.848376,0.4654109999999889,0.2710437575705272,10426,10425,10426,15.0
70.3,348.02355691422537,138.223726857615,155.727513950331,148.506539367549,168.939932092715,98.752337,98.848376,0.3922939197930191,0.2716893753628495,10441,10440,10441,15.0
70.4,348.51861176047606,138.275078,155.82025,148.583117,169.045945,98.7442249900332,98.8490757674418,0.45737599999998224,0.27204363743351806,10456,10455,10456,15.0
70.5,349.01366660672676,138.275078,155.82025,148.583117,169.045945,98.74406,98.84909,0.45737599999998224,0.27204363743351806,10470,10470,10471,14.0
70.6,349.50872145297745,138.296522810631,155.859361906976,148.610954528239,169.089595192691,98.7494364784053,98.8591255083056,0.43593118936900055,0.2721915812311899,10485,10485,10486,15.0
70.7,350.00377629922815,138.42178,156.087811,148.773551,169.344552,98.75019,98.860532,0.40551333774797627,0.27305570750396685,10500,10500,10501,15.0
70.8,350.49883114547885,138.42178,156.087811,148.773551,169.344552,98.7512239534883,98.8666478737541,0.4568039999999769,0.27305570750396685,10515,10514,10515,15.0
70.9,350.99388599172954,138.42178,156.087811,148.773551,169.344552,98.75152,98.868399,0.4568039999999769,0.27305570750396685,10530,10529,10530,15.0
71.0,351.48894083798024,138.534357840531,156.261151099667,148.913967843853,169.522606435215,98.7582716046511,98.861094372093,0.3658007441860036,0.273832361285082,10545,10544,10545,15.0
71.1,351.98399568423093,138.595554,156.355377,148.990297,169.619395,98.761531,98.857568,0.42734000000001515,0.27425454231482244,10560,10559,10560,15.0
71.2,352.47905053048163,138.595554,156.355377,148.990297,169.619395,98.7478118708609,98.8490010629139,0.42734000000001515,0.27425454231482244,10574,10574,10575,14.0
71.3,352.9741053767323,138.616020777408,156.392462830564,149.018340073089,169.662939451827,98.737582,98.842613,0.4068732225919973,0.27439573884147644,10589,10589,10590,15.0
71.4,353.469160222983,138.732454,156.60344,149.177874,169.910659,98.7459024451827,98.8486185149501,0.37486455813902353,0.27519899019313654,10604,10604,10605,15.0
71.5,353.9642150692337,138.732454,156.60344,149.177874,169.910659,98.755219,98.855343,0.420092000000011,0.27519899019313654,10619,10618,10619,15.0
71.6,354.4592699154844,138.732454,156.60344,149.177874,169.910659,98.7451128372092,98.8529242325581,0.420092000000011,0.27519899019313654,10634,10633,10634,15.0
71.7,354.9543247617351,138.827293337748,156.75924831788,149.296620794702,170.101071701986,98.727814,98.848784,0.34642134437100935,0.2758532693115939,10649,10648,10649,15.0
71.8,355.4493796079858,138.878584,156.843512,149.360841,170.20405,98.7312402192691,98.8522096810631,0.4129390000000228,0.2762071141409673,10663,10663,10664,14.0
71.9,355.9444344542365,138.878584,156.843512,149.360841,170.20405,98.740546,98.861514,0.4129390000000228,0.2762071141409673,10678,10678,10679,15.0
72.0,356.4394893004872,138.900158584717,156.880820737541,149.394633757475,170.24913641196,98.7386757342192,98.8614090166113,0.39136441528302157,0.27635595322614975,10693,10693,10694,15.0
72.1,356.9345441467379,139.022894,157.093066,149.586877,170.505628,98.729287,98.860882,0.3410037906969876,0.2772026822441048,10708,10708,10709,15.0
72.2,357.4295989929886,139.022894,157.093066,149.586877,170.505628,98.7299473311258,98.8603243841059,0.37977599999999256,0.2772026822441048,10723,10722,10723,15.0
72.3,357.9246538392393,139.022894,157.093066,149.586877,170.505628,98.739258,98.852462,0.37977599999999256,0.2772026822441048,10738,10737,10738,15.0
72.4,358.41970868549,139.107318558139,157.26141372093,149.684762395348,170.689396558139,98.739258,98.852462,0.32758506312299573,0.2777851117168001,10753,10752,10753,15.0
72.5,358.9147635317407,139.152546,157.3516,149.737201,170.787844,98.71212710299,98.8517143588039,0.4610439999999869,0.2780971275057496,10767,10767,10768,14.0
72.6,359.40981837799137,139.152546,157.3516,149.737201,170.787844,98.711098,98.851686,0.4610439999999869,0.2780971275057496,10782,10782,10783,15.0
