t_10Hz,t_video (secs),frame_index
37.4,247.65205664194139,7430
37.5,248.31422791638508,7449
37.6,248.97639919082877,7469
37.7,249.63857046527247,7489
37.8,250.30074173971616,7509
37.9,250.96291301415985,7529
38.0,251.62508428860355,7549
38.1,252.28725556304724,7569
38.2,252.94942683749093,7588
38.3,253.61159811193463,7608
38.4,254.27376938637832,7628
38.5,254.935940660822,7648
38.6,255.5981119352657,7668
38.7,256.2602832097094,7688
38.8,256.92245448415315,7708
38.9,257.58462575859687,7728
39.0,258.2467970330406,7747
39.1,258.9089683074843,7767
39.2,259.57113958192804,7787
39.3,260.23331085637176,7807
39.4,260.8954821308155,7827
39.5,261.5576534052592,7847
39.6,262.2198246797029,7867
39.7,262.88199595414665,7886
39.8,263.54416722859037,7906
39.9,264.2063385030341,7926
40.0,264.8685097774778,7946
40.1,265.53068105192153,7966
40.2,266.19285232636526,7986
40.3,266.855023600809,8006
40.4,267.5171948752527,8026
40.5,268.1793661496964,8045
40.6,268.84153742414014,8065
40.7,269.50370869858386,8085
40.8,270.1658799730276,8105
40.9,270.8280512474713,8125
41.0,271.49022252191503,8145
41.1,272.15239379635875,8165
41.2,272.8145650708025,8184
41.3,273.4767363452462,8204
41.4,274.1389076196899,8224
41.5,274.80107889413364,8244
41.6,275.46325016857736,8264
41.7,276.1254214430211,8284
41.8,276.7875927174648,8304
41.9,277.4497639919085,8323
42.0,278.11193526635225,8343
42.1,278.77410654079597,8363
42.2,279.4362778152397,8383
42.3,280.0984490896834,8403
42.4,280.76062036412713,8423
42.5,281.42279163857086,8443
42.6,282.0849629130146,8463
42.7,282.7471341874583,8482
42.8,283.409305461902,8502
42.9,284.07147673634574,8522
43.0,284.73364801078947,8542
43.1,285.3958192852332,8562
43.2,286.0579905596769,8582
43.3,286.72016183412063,8602
43.4,287.38233310856435,8621
43.5,288.0445043830081,8641
43.6,288.7066756574518,8661
43.7,289.3688469318955,8681
43.8,290.03101820633924,8701
43.9,290.69318948078296,8721
44.0,291.3553607552267,8741
44.1,292.0175320296704,8761
44.2,292.6797033041141,8780
44.3,293.34187457855785,8800
44.4,294.00404585300157,8820
44.5,294.6662171274453,8840
44.6,295.328388401889,8860
44.7,295.99055967633274,8880
44.8,296.65273095077646,8900
44.9,297.3149022252202,8919
45.0,297.9770734996639,8939
45.1,298.6392447741076,8959
45.2,299.30141604855135,8979
45.3,299.96358732299507,8999
45.4,300.6257585974388,9019
45.5,301.2879298718825,9039
45.6,301.95010114632623,9059
45.7,302.61227242076995,9078
45.8,303.2744436952137,9098
45.9,303.9366149696574,9118
46.0,304.5987862441011,9138
46.1,305.26095751854484,9158
46.2,305.92312879298856,9178
46.3,306.5853000674323,9198
46.4,307.247471341876,9217
46.5,307.90964261631973,9237
46.6,308.57181389076345,9257
46.7,309.2339851652072,9277
46.8,309.8961564396509,9297
46.9,310.5583277140946,9317
47.0,311.22049898853834,9337
47.1,311.88267026298206,9356
47.2,312.5448415374258,9376
47.3,313.2070128118695,9396
47.4,313.8691840863132,9416
47.5,314.53135536075695,9436
47.6,315.19352663520067,9456
47.7,315.8556979096444,9476
47.8,316.5178691840881,9496
47.9,317.18004045853183,9515
48.0,317.84221173297556,9535
48.1,318.5043830074193,9555
48.2,319.166554281863,9575
48.3,319.8287255563067,9595
48.4,320.49089683075044,9615
48.5,321.15306810519417,9635
48.6,321.8152393796379,9654
48.7,322.4774106540816,9674
48.8,323.13958192852533,9694
48.9,323.80175320296905,9714
49.0,324.4639244774128,9734
49.1,325.1260957518565,9754
49.2,325.7882670263002,9774
49.3,326.45043830074394,9794
49.4,327.11260957518766,9813
49.5,327.7747808496314,9833
49.6,328.4369521240751,9853
49.7,329.0991233985188,9873
49.8,329.76129467296255,9893
49.9,330.42346594740627,9913
50.0,331.08563722185,9933
50.1,331.7478084962937,9952
50.2,332.40997977073744,9972
50.3,333.07215104518116,9992
50.4,333.7343223196249,10012
50.5,334.3964935940686,10032
50.6,335.0586648685123,10052
50.7,335.72083614295605,10072
50.8,336.38300741739977,10091
50.9,337.0451786918435,10111
51.0,337.7073499662872,10131
51.1,338.36952124073093,10151
51.2,339.03169251517465,10171
51.3,339.6938637896184,10191
51.4,340.3560350640621,10211
51.5,341.0182063385058,10231
51.6,341.68037761294954,10250
51.7,342.34254888739326,10270
51.8,343.004720161837,10290
51.9,343.6668914362807,10310
52.0,344.32906271072443,10330
52.1,344.99123398516815,10350
52.2,345.6534052596119,10370
52.3,346.3155765340556,10389
52.4,346.9777478084993,10409
52.5,347.63991908294304,10429
52.6,348.30209035738676,10449
52.7,348.9642616318305,10469
52.8,349.6264329062742,10489
52.9,350.2886041807179,10509
53.0,350.95077545516165,10529
53.1,351.61294672960537,10548
53.2,352.2751180040491,10568
53.3,352.9372892784928,10588
53.4,353.59946055293653,10608
53.5,354.26163182738026,10628
53.6,354.923803101824,10648
53.7,355.5859743762677,10668
53.8,356.2481456507114,10687
53.9,356.91031692515514,10707
54.0,357.57248819959887,10727
54.1,358.2346594740426,10747
54.2,358.8968307484863,10767
54.3,359.55900202293003,10787
54.4,360.22117329737375,10807
54.5,360.8833445718175,10827
54.6,361.5455158462612,10846
54.7,362.2076871207049,10866
54.8,362.86985839514864,10886
54.9,363.53202966959236,10906
55.0,364.1942009440361,10926
55.1,364.8563722184798,10946
55.2,365.5185434929235,10966
55.3,366.18071476736725,10985
55.4,366.84288604181097,11005
55.5,367.5050573162547,11025
55.6,368.1672285906984,11045
55.7,368.82939986514214,11065
55.8,369.49157113958586,11085
55.9,370.1537424140296,11105
56.0,370.8159136884733,11124
56.1,371.478084962917,11144
56.2,372.14025623736075,11164
56.3,372.80242751180447,11184
56.4,373.4645987862482,11204
56.5,374.1267700606919,11224
56.6,374.78894133513563,11244
56.7,375.45111260957935,11264
56.8,376.1132838840231,11283
56.9,376.7754551584668,11303
57.0,377.4376264329105,11323
57.1,378.09979770735424,11343
57.2,378.76196898179796,11363
57.3,379.4241402562417,11383
57.4,380.0863115306854,11403
57.5,380.74848280512913,11422
57.6,381.41065407957285,11442
57.7,382.0728253540166,11462
57.8,382.7349966284603,11482
57.9,383.397167902904,11502
58.0,384.05933917734774,11522
58.1,384.72151045179146,11542
58.2,385.3836817262352,11562
58.3,386.0458530006789,11581
58.4,386.7080242751226,11601
58.5,387.37019554956635,11621
58.6,388.03236682401007,11641
58.7,388.6945380984538,11661
58.8,389.3567093728975,11681
58.9,390.01888064734123,11701
59.0,390.68105192178496,11720
59.1,391.3432231962287,11740
59.2,392.0053944706724,11760
59.3,392.6675657451161,11780
59.4,393.32973701955984,11800
59.5,393.99190829400357,11820
59.6,394.6540795684473,11840
59.7,395.316250842891,11859
59.8,395.97842211733473,11879
59.9,396.64059339177845,11899
60.0,397.3027646662222,11919
60.1,397.9649359406659,11939
60.2,398.6271072151096,11959
60.3,399.28927848955334,11979
60.4,399.95144976399706,11999
60.5,400.6136210384408,12018
60.6,401.2757923128845,12038
60.7,401.9379635873282,12058
60.8,402.60013486177195,12078
60.9,403.26230613621567,12098
61.0,403.9244774106594,12118
61.1,404.5866486851031,12138
61.2,405.24881995954684,12157
61.3,405.91099123399056,12177
61.4,406.5731625084343,12197
61.5,407.235333782878,12217
61.6,407.8975050573217,12237
61.7,408.55967633176544,12257
61.8,409.22184760620917,12277
61.9,409.8840188806529,12297
62.0,410.5461901550966,12316
62.1,411.20836142954033,12336
62.2,411.87053270398405,12356
62.3,412.5327039784278,12376
62.4,413.1948752528715,12396
62.5,413.8570465273152,12416
62.6,414.51921780175894,12436
62.7,415.18138907620266,12455
62.8,415.8435603506464,12475
62.9,416.5057316250901,12495
63.0,417.16790289953383,12515
63.1,417.83007417397755,12535
63.2,418.4922454484213,12555
63.3,419.154416722865,12575
63.4,419.8165879973087,12594
63.5,420.47875927175244,12614
63.6,421.14093054619616,12634
63.7,421.8031018206399,12654
63.8,422.4652730950836,12674
63.9,423.1274443695273,12694
64.0,423.78961564397105,12714
64.1,424.45178691841477,12734
64.2,425.1139581928585,12753
64.3,425.7761294673022,12773
64.4,426.43830074174593,12793
64.5,427.10047201618966,12813
64.6,427.7626432906334,12833
64.7,428.4248145650771,12853
64.8,429.0869858395208,12873
64.9,429.74915711396454,12892
65.0,430.41132838840826,12912
65.1,431.073499662852,12932
65.2,431.7356709372957,12952
65.3,432.39784221173943,12972
65.4,433.06001348618315,12992
65.5,433.7221847606269,13012
65.6,434.3843560350706,13032
65.7,435.0465273095143,13051
65.8,435.70869858395804,13071
65.9,436.37086985840176,13091
66.0,437.0330411328455,13111
66.1,437.6952124072892,13131
66.2,438.3573836817329,13151
66.3,439.01955495617665,13171
66.4,439.68172623062037,13190
66.5,440.3438975050641,13210
66.6,441.0060687795078,13230
66.7,441.66824005395154,13250
66.8,442.33041132839526,13270
66.9,442.992582602839,13290
67.0,443.6547538772827,13310
67.1,444.3169251517264,13330
67.2,444.97909642617014,13349
67.3,445.64126770061387,13369
67.4,446.3034389750576,13389
67.5,446.9656102495013,13409
67.6,447.62778152394503,13429
67.7,448.28995279838875,13449
67.8,448.9521240728325,13469
67.9,449.6142953472762,13488
68.0,450.2764666217199,13508
68.1,450.93863789616364,13528
68.2,451.60080917060736,13548
68.3,452.2629804450511,13568
68.4,452.9251517194948,13588
68.5,453.5873229939385,13608
68.6,454.24949426838225,13627
68.7,454.911665542826,13647
68.8,455.5738368172697,13667
68.9,456.2360080917134,13687
69.0,456.89817936615714,13707
69.1,457.56035064060086,13727
69.2,458.2225219150446,13747
69.3,458.8846931894883,13767
69.4,459.546864463932,13786
69.5,460.20903573837575,13806
69.6,460.87120701281947,13826
69.7,461.5333782872632,13846
69.8,462.1955495617069,13866
69.9,462.85772083615063,13886
70.0,463.51989211059436,13906
70.1,464.1820633850381,13925
70.2,464.8442346594818,13945
70.3,465.5064059339255,13965
70.4,466.16857720836924,13985
70.5,466.83074848281296,14005
70.6,467.4929197572567,14025
70.7,468.1550910317004,14045
70.8,468.81726230614413,14065
70.9,469.47943358058785,14084
71.0,470.1416048550316,14104
71.1,470.8037761294753,14124
71.2,471.465947403919,14144
71.3,472.12811867836274,14164
71.4,472.79028995280646,14184
71.5,473.4524612272502,14204
71.6,474.1146325016939,14223
71.7,474.7768037761376,14243
71.8,475.43897505058135,14263
71.9,476.10114632502507,14283
72.0,476.7633175994688,14303
72.1,477.4254888739125,14323
72.2,478.08766014835624,14343
72.3,478.74983142279996,14362
72.4,479.4120026972437,14382
72.5,480.0741739716874,14402
72.6,480.7363452461311,14422
72.7,481.39851652057484,14442
72.8,482.06068779501857,14462
72.9,482.7228590694623,14482
73.0,483.385030343906,14502
73.1,484.04720161834973,14521
73.2,484.70937289279345,14541
73.3,485.3715441672372,14561
73.4,486.0337154416809,14581
73.5,486.6958867161246,14601
73.6,487.35805799056834,14621
73.7,488.02022926501206,14641
73.8,488.6824005394558,14660
73.9,489.3445718138995,14680
74.0,490.0067430883432,14700
74.1,490.66891436278695,14720
74.2,491.3310856372307,14740
74.3,491.9932569116744,14760
74.4,492.6554281861181,14780
74.5,493.31759946056184,14800
74.6,493.97977073500556,14819
74.7,494.6419420094493,14839
74.8,495.304113283893,14859
74.9,495.9662845583367,14879
75.0,496.62845583278045,14899
75.1,497.29062710722417,14919
75.2,497.9527983816679,14939
75.3,498.6149696561116,14958
75.4,499.27714093055533,14978
75.5,499.93931220499906,14998
75.6,500.6014834794428,15018
75.7,501.2636547538865,15038
75.8,501.9258260283302,15058
75.9,502.58799730277394,15078
76.0,503.25016857721766,15098
76.1,503.9123398516614,15117
76.2,504.5745111261051,15137
76.3,505.23668240054883,15157
76.4,505.89885367499255,15177
76.5,506.5610249494363,15197
76.6,507.22319622388,15217
76.7,507.8853674983237,15237
76.8,508.54753877276744,15256
76.9,509.20971004721116,15276
77.0,509.8718813216549,15296
77.1,510.5340525960986,15316
77.2,511.1962238705423,15336
77.3,511.85839514498605,15356
77.4,512.5205664194298,15376
77.5,513.1827376938735,15395
77.6,513.8449089683172,15415
77.7,514.5070802427609,15435
77.8,515.1692515172047,15455
77.9,515.8314227916484,15475
78.0,516.4935940660921,15495
78.1,517.1557653405358,15515
78.2,517.8179366149795,15535
78.3,518.4801078894233,15554
78.4,519.142279163867,15574
78.5,519.8044504383107,15594
78.6,520.4666217127544,15614
78.7,521.1287929871982,15634
78.8,521.7909642616419,15654
78.9,522.4531355360856,15674
79.0,523.1153068105293,15693
79.1,523.777478084973,15713
79.2,524.4396493594168,15733
79.3,525.1018206338605,15753
79.4,525.7639919083042,15773
79.5,526.4261631827479,15793
79.6,527.0883344571916,15813
79.7,527.7505057316354,15833
79.8,528.4126770060791,15852
79.9,529.0748482805228,15872
80.0,529.7370195549665,15892
80.1,530.3991908294103,15912
80.2,531.061362103854,15932
80.3,531.7235333782977,15952
80.4,532.3857046527414,15972
80.5,533.0478759271851,15991
80.6,533.7100472016289,16011
80.7,534.3722184760726,16031
80.8,535.0343897505163,16051
80.9,535.69656102496,16071
81.0,536.3587322994038,16091
81.1,537.0209035738475,16111
81.2,537.6830748482912,16130
81.3,538.3452461227349,16150
81.4,539.0074173971786,16170
81.5,539.6695886716224,16190
81.6,540.3317599460661,16210
81.7,540.9939312205098,16230
81.8,541.6561024949535,16250
81.9,542.3182737693973,16270
82.0,542.980445043841,16289
82.1,543.6426163182847,16309
82.2,544.3047875927284,16329
82.3,544.9669588671721,16349
82.4,545.6291301416159,16369
82.5,546.2913014160596,16389
82.6,546.9534726905033,16409
82.7,547.615643964947,16428
82.8,548.2778152393907,16448
82.9,548.9399865138345,16468
83.0,549.6021577882782,16488
83.1,550.2643290627219,16508
83.2,550.9265003371656,16528
83.3,551.5886716116094,16548
83.4,552.2508428860531,16568
83.5,552.9130141604968,16587
83.6,553.5751854349405,16607
83.7,554.2373567093842,16627
83.8,554.899527983828,16647
83.9,555.5616992582717,16667
84.0,556.2238705327154,16687
84.1,556.8860418071591,16707
84.2,557.5482130816029,16726
84.3,558.2103843560466,16746
84.4,558.8725556304903,16766
84.5,559.534726904934,16786
84.6,560.1968981793777,16806
84.7,560.8590694538215,16826
84.8,561.5212407282652,16846
84.9,562.1834120027089,16866
85.0,562.8455832771526,16885
85.1,563.5077545515963,16905
85.2,564.1699258260401,16925
85.3,564.8320971004838,16945
85.4,565.4942683749275,16965
85.5,566.1564396493712,16985
85.6,566.818610923815,17005
85.7,567.4807821982587,17024
85.8,568.1429534727024,17044
85.9,568.8051247471461,17064
86.0,569.4672960215898,17084
86.1,570.1294672960336,17104
86.2,570.7916385704773,17124
86.3,571.453809844921,17144
86.4,572.1159811193647,17163
86.5,572.7781523938085,17183
86.6,573.4403236682522,17203
86.7,574.1024949426959,17223
86.8,574.7646662171396,17243
86.9,575.4268374915833,17263
87.0,576.0890087660271,17283
87.1,576.7511800404708,17303
87.2,577.4133513149145,17322
87.3,578.0755225893582,17342
87.4,578.737693863802,17362
87.5,579.3998651382457,17382
87.6,580.0620364126894,17402
87.7,580.7242076871331,17422
87.8,581.3863789615768,17442
87.9,582.0485502360206,17461
88.0,582.7107215104643,17481
88.1,583.372892784908,17501
88.2,584.0350640593517,17521
88.3,584.6972353337954,17541
88.4,585.3594066082392,17561
88.5,586.0215778826829,17581
88.6,586.6837491571266,17601
88.7,587.3459204315703,17620
88.8,588.008091706014,17640
88.9,588.6702629804578,17660
89.0,589.3324342549015,17680
89.1,589.9946055293452,17700
89.2,590.656776803789,17720
89.3,591.3189480782327,17740
89.4,591.9811193526764,17759
89.5,592.6432906271201,17779
89.6,593.3054619015638,17799
89.7,593.9676331760076,17819
89.8,594.6298044504513,17839
89.9,595.291975724895,17859
90.0,595.9541469993387,17879
90.1,596.6163182737824,17898
90.2,597.2784895482262,17918
90.3,597.9406608226699,17938
90.4,598.6028320971136,17958
90.5,599.2650033715573,17978
90.6,599.927174646001,17998
90.7,600.5893459204448,18018
90.8,601.2515171948885,18038
90.9,601.9136884693322,18057
91.0,602.5758597437759,18077
91.1,603.2380310182197,18097
91.2,603.9002022926634,18117
91.3,604.5623735671071,18137
91.4,605.2245448415508,18157
91.5,605.8867161159945,18177
91.6,606.5488873904383,18196
91.7,607.211058664882,18216
91.8,607.8732299393257,18236
91.9,608.5354012137694,18256
92.0,609.1975724882132,18276
